data,algorithm,time,alpha,nmi,ari,#com
scalability_1000,CMS,274.8308969,0.4,0.411060279,0.031847046,38
scalability_1000,CMS,278.8756158,0.1,0.431209745,0.063792964,38
scalability_1000,CMS,279.2308538,0,0.890718285,0.835657903,38
scalability_1000,CMS,279.6017442,0.6,0.398144663,0.025389214,38
scalability_1000,CMS,280.6406128,0.2,0.413275606,0.036487637,38
scalability_1000,CMS,281.1040392,0.8,0.398144663,0.025389214,38
scalability_1000,CMS,285.2871211,0.7,0.398144663,0.025389214,38
scalability_1000,CMS,285.4552441,0.5,0.398144663,0.025389214,38
scalability_1000,CMS,285.6157432,0.9,0.397144259,0.025789419,38
scalability_1000,CMS,285.7843189,0.3,0.411494801,0.032345986,38
scalability_1000,CMS,286.356899,1,0.39414253,0.025649172,38
scalability_2000,CMS,1952.413028,0.3,0.33326026,0.01016076,67
scalability_2000,CMS,1952.837043,0.7,0.326236686,0.008109828,67
scalability_2000,CMS,1956.641812,0.4,0.326485022,0.008116994,67
scalability_2000,CMS,1956.752557,1,0.326253621,0.008054815,67
scalability_2000,CMS,1956.891027,0.9,0.324101629,0.007855756,67
scalability_2000,CMS,1958.412565,0.2,0.322148388,0.01405691,67
scalability_2000,CMS,1958.981602,0.1,0.346357506,0.02056884,67
scalability_2000,CMS,1962.359678,0.6,0.326236686,0.008109828,67
scalability_2000,CMS,1962.868288,0.5,0.326236686,0.008109828,67
scalability_2000,CMS,1965.494914,0.8,0.324101629,0.007855756,67
scalability_2000,CMS,1980.730648,0,0.889288993,0.759800285,67
scalability_4000,CMS,13954.17082,0.7,0.267525965,0.005072529,104
scalability_4000,CMS,13956.22049,0.8,0.267525965,0.005072529,104
scalability_4000,CMS,13965.29241,0.3,0.270916967,0.005005063,104
scalability_4000,CMS,13969.23138,1,0.267525965,0.005072529,104
scalability_4000,CMS,13969.43388,0.6,0.266625066,0.005014567,104
scalability_4000,CMS,13973.07693,0.5,0.266625066,0.005014567,104
scalability_4000,CMS,13976.55418,0.4,0.267615691,0.004800444,104
scalability_4000,CMS,13981.95314,0.9,0.267525965,0.005072529,104
scalability_4000,CMS,13994.51179,0.1,0.274833226,0.007767153,104
scalability_4000,CMS,14144.86062,0.2,0.274350247,0.005352809,104
scalability_4000,CMS,14323.92529,0,0.873072877,0.659872357,104
scalability_8000,CMS,105348.3494,0.3,0.180442641,0.001188062,164
scalability_8000,CMS,105390.0724,0.5,0.179816184,0.001198657,164
scalability_8000,CMS,105434.7041,0.4,0.179816184,0.001198657,164
scalability_8000,CMS,105457.5951,0.7,0.180453829,0.001175258,164
scalability_8000,CMS,105464.3485,0.8,0.180453829,0.001175258,164
scalability_8000,CMS,105555.9992,0.1,0.189434837,0.001050668,164
scalability_8000,CMS,105784.2773,1,0.180453829,0.001175258,164
scalability_8000,CMS,106337.983,0.6,0.179816184,0.001198657,164
scalability_8000,CMS,106432.6536,0.2,0.183517763,0.001155239,164
scalability_8000,CMS,106513.4094,0.9,0.180453829,0.001175258,164
scalability_8000,CMS,108559.1068,0,0.837010103,0.488135236,164